"","L","R"
"662","5S-HPETE","NIACR1"
"663","Gentisic acid","APP"
"664","Ornithine","GPRC6A"
"665","Sphingosine","APLNR"
"666","Sphingosine","TRPM3"
"667","Sphingosine","PVR"
"668","5-Methoxyindoleacetate","PPARG"
"669","Melatonin","MTNR1A"
"670","Melatonin","MTNR1B"
"671","Melatonin","HTR2B"
"672","Melatonin","HTR2C"
"673","Melatonin","MTNR1A;MTNR1B"
"674","Melatonin","ABCC4"
"675","Melatonin","ABCC3"
"676","Melatonin","ESR1"
"677","Melatonin","RORB"
"678","Melatonin","GPR50"
"679","Melatonin","ADAM10"
"680","Melatonin","PPARA"
"681","Melatonin","ERBB2"
"682","Melatonin","FLT1"
"683","Melatonin","GJA1"
"684","Melatonin","APP"
"685","Melatonin","TSHR"
"686","Melatonin","HTR1A"
"687","Melatonin","OXTR"
"688","Melatonin","OCLN"
"689","Melatonin","HTR2A"
"690","Melatonin","GPC3"
"691","L-Asparagine","PVR"
"692","L-Aspartic acid","GRM6"
"693","L-Aspartic acid","GRIN3B"
"694","L-Aspartic acid","GRIK2"
"695","L-Aspartic acid","GRIK5"
"696","L-Aspartic acid","GRIN2D"
"697","L-Aspartic acid","APLP2"
"698","L-Aspartic acid","GRIA2"
"699","L-Aspartic acid","ENPEP"
"700","L-Aspartic acid","GRID2"
"701","L-Aspartic acid","GRIA4"
"702","L-Aspartic acid","GRM1"
"703","L-Aspartic acid","APP"
"704","L-Aspartic acid","GRIA1"
"705","L-Aspartic acid","GRIN2C"
"706","L-Aspartic acid","GRM5"
"707","L-Aspartic acid","GRID1"
"708","L-Aspartic acid","CNTN2"
"709","L-Aspartic acid","GRIN2A"
"710","L-Aspartic acid","GRM8"
"711","L-Aspartic acid","GRM7"
"712","L-Aspartic acid","GRIN3A"
"713","L-Aspartic acid","GRM3"
"714","L-Aspartic acid","GRIN1"
"715","L-Aspartic acid","GRIK3"
"716","L-Aspartic acid","GRM4"
"717","L-Aspartic acid","GRM2"
"718","L-Aspartic acid","GRIK1"
"719","L-Aspartic acid","PVR"
"720","L-Aspartic acid","GRIK4"
"721","L-Arginine","GPRC6A"
"722","L-Arginine","ENPEP"
"723","L-Arginine","GRM1"
"724","L-Arginine","ERAP1"
"725","L-Arginine","GRM5"
"726","L-Arginine","ERAP2"
"727","L-Arginine","PVR"
"728","L-Arginine","CASR"
"729","Agmatine","GRIN1"
"730","Agmatine","ASIC3"
"731","Agmatine","CHRNA1"
"732","Agmatine","NISCH"
"733","Agmatine","ADRA2C"
"734","Alpha-Lactose","SELL"
"735","Alpha-Lactose","AVPR1A"
"736","Alpha-Lactose","CRHR2"
"737","Alpha-Lactose","CD207"
"738","L-Carnitine","PPARG"
"739","L-Carnitine","IGFBP3"
"740","L-Carnitine","APP"
"741","3-Hydroxybutyric acid","HCAR2"
"742","3-Hydroxybutyric acid","PPARA"
"743","L-Methionine","PVR"
"744","Bilirubin","PPARA"
"745","Bilirubin","ABCB11"
"746","Bilirubin","CHRNA4"
"747","Bilirubin","ABCC2"
"748","5-KETE","OXER1"
"749","L-Alanine,D-Alanine","GPRC6A"
"750","L-Alanine,D-Alanine","CHL1"
"751","L-Alanine,D-Alanine","CD81"
"752","L-Alanine,D-Alanine","NECTIN1"
"753","L-Alanine,D-Alanine","PGLYRP3"
"754","L-Alanine,D-Alanine","ERAP1"
"755","L-Alanine,D-Alanine","ANPEP"
"756","L-Alanine,D-Alanine","CDH5"
"757","L-Alanine,D-Alanine","ITGAL"
"758","L-Alanine,D-Alanine","PGLYRP4"
"759","L-Alanine,D-Alanine","RYR2"
"760","L-Alanine,D-Alanine","ITM2B"
"761","L-Alanine,D-Alanine","FGFR1"
"762","L-Alanine,D-Alanine","ERAP2"
"763","L-Alanine,D-Alanine","PVR"
"764","Niacinamide","F7;F3"
"765","Niacinamide","HCAR2"
"766","Niacinamide","HCAR3"
"767","Niacinamide","CD38"
"768","Niacinamide","TNFRSF21"
"769","Niacinamide","PTGDR"
"770","Niacinamide","KLRG1"
"771","Benzamide,3,5-Dihydroxybenzoic acid","F7;F3"
"772","Benzamide,3,5-Dihydroxybenzoic acid","CXCR1"
"773","Benzamide,3,5-Dihydroxybenzoic acid","ESR1"
"774","Benzamide,3,5-Dihydroxybenzoic acid","GABRA4"
"775","Benzamide,3,5-Dihydroxybenzoic acid","GABRB3"
"776","Benzamide,3,5-Dihydroxybenzoic acid","GABRD"
"777","Benzamide,3,5-Dihydroxybenzoic acid","MPL"
"778","Benzamide,3,5-Dihydroxybenzoic acid","NCOA3"
"779","25-Hydroxycholesterol","GPR183"
"780","25-Hydroxycholesterol","ESR1"
"781","25-Hydroxycholesterol","SCARB1"
"782","25-Hydroxycholesterol","ABCA7"
"783","25-Hydroxycholesterol","RORC"
"784","25-Hydroxycholesterol","LDLR"
"785","25-Hydroxycholesterol","ESR2"
"786","25-Hydroxycholesterol","NR1H3"
"787","25-Hydroxycholesterol","PPARA"
"788","25-Hydroxycholesterol","PPARG"
"789","25-Hydroxycholesterol","ROR1"
"790","25-Hydroxycholesterol","ROR2"
"791","25-Hydroxycholesterol","RORA"
"792","Acetylcholine","NPY1R"
"793","Acetylcholine","NPY2R"
"794","Acetylcholine","CHRNA4"
"795","Acetylcholine","CHRM3"
"796","Acetylcholine","CHRM5"
"797","Acetylcholine","GALR3"
"798","Acetylcholine","CHRNA3;CHRNB4"
"799","Acetylcholine","CHRNA3"
"800","Acetylcholine","CHRFAM7A"
"801","Acetylcholine","CHRNA7"
"802","Acetylcholine","CHRM1"
"803","Acetylcholine","CHRM2"
"804","Acetylcholine","CHRM4"
"805","Acetylcholine","DRD4"
"806","Acetylcholine","BDKRB1"
"807","Acetylcholine","PROKR2"
"808","Acetylcholine","MLNR"
"809","Acetylcholine","GNRHR"
"810","Acetylcholine","NR3C1"
"811","Acetylcholine","KISS1R"
"812","Acetylcholine","OPRD1"
"813","Acetylcholine","GHSR"
"814","Acetylcholine","MCHR1"
"815","Acetylcholine","SSTR4"
"816","Acetylcholine","NMUR2"
"817","Acetylcholine","HRH4"
"818","Acetylcholine","APLNR"
"819","Acetylcholine","NMBR"
"820","Acetylcholine","CHRND"
"821","Acetylcholine","HTR2B"
"822","Acetylcholine","CHRNA1"
"823","Acetylcholine","TRPV4"
"824","Acetylcholine","CHRNB4"
"825","Acetylcholine","ICAM1"
"826","Acetylcholine","OPRK1"
"827","Acetylcholine","SSTR1"
"828","Acetylcholine","GPR65"
"829","Acetylcholine","ACKR3"
"830","Acetylcholine","AGTR1"
"831","Acetylcholine","HTR2C"
"832","Acetylcholine","CHRNA6"
"833","Acetylcholine","NPFFR1"
"834","Acetylcholine","ADRA2A"
"835","Acetylcholine","MCHR2"
"836","Acetylcholine","PPARG"
"837","Acetylcholine","HTR5A"
"838","Acetylcholine","CHRNB3"
"839","Acetylcholine","CCR2"
"840","Acetylcholine","CCR5"
"841","Acetylcholine","PTGER1"
"842","Acetylcholine","CHRNE"
"843","Acetylcholine","SSTR5"
"844","Acetylcholine","CCKAR"
"845","Acetylcholine","CCR1"
"846","Acetylcholine","AVPR1A"
"847","Acetylcholine","CHRNA5"
"848","Acetylcholine","GALR1"
"849","Acetylcholine","NTSR2"
"850","Acetylcholine","PROKR1"
"851","Acetylcholine","CXCR6"
"852","Acetylcholine","NMUR1"
"853","Acetylcholine","ADRA1B"
"854","Acetylcholine","LTB4R"
"855","Acetylcholine","HTR1E"
"856","Acetylcholine","NPFFR2"
"857","Acetylcholine","ADORA1"
"858","Acetylcholine","TRHR"
"859","Acetylcholine","EDNRA"
"860","Acetylcholine","HTR1A"
"861","Acetylcholine","HTR1F"
"862","Acetylcholine","UTS2R"
"863","Acetylcholine","OXTR"
"864","Acetylcholine","RXFP3"
"865","Acetylcholine","GALR2"
"866","Acetylcholine","NPBWR1"
"867","Acetylcholine","CCR9"
"868","Acetylcholine","CCR4"
"869","Acetylcholine","CCKBR"
"870","Acetylcholine","OPRL1"
"871","Acetylcholine","NPY5R"
"872","Acetylcholine","HRH3"
"873","Acetylcholine","PTGER3"
"874","Acetylcholine","SSTR2"
"875","Acetylcholine","LPAR1"
"876","Acetylcholine","NPSR1"
"877","Acetylcholine","DRD2"
"878","Acetylcholine","RXFP4"
"879","Acetylcholine","CHRNB2"
"880","Acetylcholine","CNR1"
"881","Acetylcholine","NPBWR2"
"882","Acetylcholine","HTR1B"
"883","Acetylcholine","NTSR1"
"884","Acetylcholine","LPAR3"
"885","Acetylcholine","PTGFR"
"886","Acetylcholine","HCRTR2"
"887","Acetylcholine","AGTR2"
"888","Acetylcholine","TIE1"
"889","Acetylcholine","HCRTR1"
"890","Acetylcholine","NPY4R"
"891","Acetylcholine","CNR2"
"892","Acetylcholine","EDNRB"
"893","Acetylcholine","HTR2A"
"894","Acetylcholine","TNFRSF4"
"895","Acetylcholine","ADRA1A"
"896","Acetylcholine","ADRA1D"
"897","Acetylcholine","GRPR"
"898","Acetylcholine","DRD3"
"899","Acetylcholine","QRFPR"
"900","Acetylcholine","HRH1"
"901","Acetylcholine","LPAR2"
"902","Acetylcholine","CHRNA2"
"903","Acetylcholine","ADRA2C"
"904","Acetylcholine","CXCR4"
"905","Acetylcholine","TBXA2R"
"906","Acetylcholine","OPRM1"
"907","Acetylcholine","LTB4R2"
"908","Acetylcholine","CCR3"
"909","Acetylcholine","CHRNA10"
"910","Acetylcholine","CHRNA9"
"911","Acetylcholine","CHRNB1"
"912","Acetylcholine","CHRNG"
"913","Malic acid","MTNR1B"
"914","Malic acid","MTNR1A"
"915","3-Methoxytyramine","TAAR1"
"916","3-Methoxytyramine","CHRM1"
"917","3-Methoxytyramine","CHRM4"
"918","5-Methoxytryptophol","MTNR1A"
"919","5-Methoxytryptophol","MTNR1B"
"920","L-Acetylcarnitine","NGFR"
"921","Hydrogen sulfide","NR3C1"
"922","Hydrogen sulfide","TRPA1"
"923","Hydrogen sulfide","ICAM1"
"924","Hydrogen sulfide","ERBB2"
"925","Hydrogen sulfide","EGFR"
"926","Hydrogen sulfide","CX3CR1"
"927","Hydrogen sulfide","OPRM1"
"928","L-Cysteine,D-Cysteine","GRIN1"
"929","L-Cysteine,D-Cysteine","GRIN2D"
"930","L-Cysteine,D-Cysteine","GRIN2B"
"931","L-Cysteine,D-Cysteine","GRIN2A"
"932","L-Cysteine,D-Cysteine","NR2A"
"933","L-Cysteine,D-Cysteine","GRIN3A"
"934","L-Cysteine,D-Cysteine","ESR1"
"935","L-Cysteine,D-Cysteine","FCGRT"
"936","L-Cysteine,D-Cysteine","CD200R1"
"937","L-Cysteine,D-Cysteine","SIGLEC7"
"938","L-Cysteine,D-Cysteine","LEPR"
"939","L-Cysteine,D-Cysteine","HLA-G"
"940","L-Cysteine,D-Cysteine","IL6R"
"941","L-Cysteine,D-Cysteine","HLA-C"
"942","L-Cysteine,D-Cysteine","HLA-A"
"943","L-Cysteine,D-Cysteine","HLA-B"
"944","L-Cysteine,D-Cysteine","CD200"
"945","L-Cysteine,D-Cysteine","AHR"
"946","L-Cysteine,D-Cysteine","FAS"
"947","L-Cysteine,D-Cysteine","TRAF2"
"948","Pregnenolone","NR1I2"
"949","Pregnenolone","NPY1R"
"950","Pregnenolone","TRPM3"
"951","Cortisol","NR3C2"
"952","Cortisol","ANXA1"
"953","Cortisol","NR3C1"
"954","Cortisol","THBS1"
"955","Cortisol","NOTCH1"
"956","Cortisol","HTR1A"
"957","Cortisol","MC2R"
"958","Cortisol","NR1I2"
"959","Cortisol","APCDD1"
"960","Cortisol","SSTR2"
"961","Cortisol","IGFBP3"
"962","Cortisol","CXCR4"
"963","Cortisol","AR"
"964","Cortisol","ESR1"
"965","Corticosterone","SIGMAR1"
"966","Corticosterone","NR3C1"
"967","Corticosterone","NTRK2"
"968","Corticosterone","GRIA1"
"969","Corticosterone","HTR1A"
"970","Corticosterone","CRHR2"
"971","Corticosterone","NR3C2"
"972","Corticosterone","AR"
"973","Corticosterone","HTR2A"
"974","Corticosterone","ESR1"
"975","Corticosterone","NR1I2"
"976","Aldosterone","NR3C2"
"977","Aldosterone","NR3C1"
"978","Aldosterone","ACE2"
"979","Aldosterone","RAMP1"
"980","Aldosterone","ICAM1"
"981","Aldosterone","IGF1R"
"982","Aldosterone","EGFR"
"983","Aldosterone","VCAM1"
"984","Aldosterone","GPER1"
"985","Aldosterone","TRPM7"
"986","Dehydroepiandrosterone","GPBAR1"
"987","Dehydroepiandrosterone","NR1I2"
"988","Dehydroepiandrosterone","GRIN1"
"989","Dehydroepiandrosterone","GRIN2D"
"990","Dehydroepiandrosterone","GRIN3B"
"991","Dehydroepiandrosterone","GRIN2B"
"992","Dehydroepiandrosterone","GRIN2A"
"993","Dehydroepiandrosterone","NR2A"
"994","Dehydroepiandrosterone","GRIN3A"
"995","Dehydroepiandrosterone","GRIN2C"
"996","Dehydroepiandrosterone","NMDAR2C"
"997","Dehydroepiandrosterone","ESR2"
"998","Dehydroepiandrosterone","NR1I3"
"999","Dehydroepiandrosterone","GABRQ"
"1000","Dehydroepiandrosterone","GABRA6"
"1001","Dehydroepiandrosterone","GABRG2"
"1002","Dehydroepiandrosterone","GABRB1"
"1003","Dehydroepiandrosterone","GABRP"
"1004","Dehydroepiandrosterone","GABRD"
"1005","Dehydroepiandrosterone","GABRA4"
"1006","Dehydroepiandrosterone","GABRB2"
"1007","Dehydroepiandrosterone","GABRG1"
"1008","Dehydroepiandrosterone","GABRA5"
"1009","Dehydroepiandrosterone","GABRA1"
"1010","Dehydroepiandrosterone","GABRB3"
"1011","Dehydroepiandrosterone","GABRA2"
"1012","Dehydroepiandrosterone","GABRA3"
"1013","Dehydroepiandrosterone","GABRG3"
"1014","Dehydroepiandrosterone","GABRE"
"1015","Dehydroepiandrosterone","SIGMAR1"
"1016","Dehydroepiandrosterone","ESR1"
"1017","Dehydroepiandrosterone","PPARA"
"1018","Dehydroepiandrosterone","AR"
"1019","Dehydroepiandrosterone","CCR2"
"1020","Dehydroepiandrosterone","TNFRSF11B"
"1021","11beta-Hydroxyprogesterone","NR3C2"
"1022","17-Hydroxyprogesterone","NR3C1"
"1023","17-Hydroxyprogesterone","GPER1"
"1024","17-Hydroxyprogesterone","PGR"
"1025","17-Hydroxyprogesterone","AR"
"1026","17-Hydroxyprogesterone","ESR1"
"1027","17-Hydroxyprogesterone","ESR2"
"1028","17-Hydroxyprogesterone","NR1I2"
"1029","Androstenedione","AR"
"1030","Androstenedione","ESR1"
"1031","Androstenedione","ESR2"
"1032","Androstenedione","NR1I2"
"1033","Androstenedione","PPARG"
"1034","Androstenedione","THRB"
"1035","6-Hydroxymelatonin","MTNR1B"
"1036","6-Hydroxymelatonin","MTNR1A"
"1037","Deoxycorticosterone","HTR2B"
"1038","Deoxycorticosterone","HTR2C"
"1039","Deoxycorticosterone","ABCB1"
"1040","Deoxycorticosterone","NR3C2"
"1041","Deoxycorticosterone","HTR2A"
"1042","Deoxycorticosterone","AR"
"1043","Deoxycorticosterone","NR3C1"
"1044","27-Hydroxycholesterol","NR1H3"
"1045","27-Hydroxycholesterol","GPR183"
"1046","27-Hydroxycholesterol","ABCA1"
"1047","27-Hydroxycholesterol","ESR1"
"1048","27-Hydroxycholesterol","ESR2"
"1049","Chenodeoxycholic acid","GPBAR1"
"1050","Chenodeoxycholic acid","NR1H4"
"1051","Chenodeoxycholic acid","VDR"
"1052","Chenodeoxycholic acid","NR3C1"
"1053","Chenodeoxycholic acid","NR0B2"
"1054","Chenodeoxycholic acid","SCARB1"
"1055","Chenodeoxycholic acid","ABCB11"
"1056","Chenodeoxycholic acid","ABCB4"
"1057","Chenodeoxycholic acid","ABCB1"
"1058","Chenodeoxycholic acid","TNFRSF10B"
"1059","Chenodeoxycholic acid","HNF4A"
"1060","Chenodeoxycholic acid","VIPR1"
"1061","Chenodeoxycholic acid","ABCC4"
"1062","Chenodeoxycholic acid","GABRG2"
"1063","Chenodeoxycholic acid","NCOR1"
"1064","Chenodeoxycholic acid","NR1I2"
"1065","Pyruvaldehyde","TRPA1"
"1066","Calcidiol","VDR"
"1067","Calcidiol","CD38"
"1068","Calcidiol","CUBN"
"1069","Calcidiol","CD247"
"1070","Calcidiol","CD28"
"1071","Calcidiol","CD3D"
"1072","Calcidiol","CD3E"
"1073","Calcidiol","CD3G"
"1074","2-Hydroxyestrone","ESR1"
"1075","2-Hydroxyestrone","ESR2"
"1076","2-Hydroxyestradiol","ESR1"
"1077","8-HETE","PPARA"
"1078","Estrone","ABCG2"
"1079","Estrone","ESR1"
"1080","Estrone","ESR2"
"1081","Estrone","AR"
"1082","Estrone","NR1I2"
"1083","Estrone","THRB"
"1084","24-Hydroxycholesterol","NR1H3"
"1085","24-Hydroxycholesterol","GRIN1;GRIN2B"
"1086","24-Hydroxycholesterol","ABCA1"
"1087","24-Hydroxycholesterol","ESR1"
"1088","24-Hydroxycholesterol","ESR2"
"1089","20-Hydroxy-leukotriene B4","LTB4R"
"1090","20-Hydroxy-leukotriene B4","LTB4R2"
"1091","7alpha-Hydroxycholesterol","GPR183"
"1092","7alpha-Hydroxycholesterol","RORA"
"1093","Norepinephrine","ADRB2"
"1094","Norepinephrine","ADRA1A"
"1095","Norepinephrine","ADRA1D"
"1096","Norepinephrine","DRD2"
"1097","Norepinephrine","ADRB1;ADRB3;ADRB2"
"1098","Norepinephrine","ADRA1B"
"1099","Norepinephrine","ADRA2A"
"1100","Norepinephrine","ADRA2B"
"1101","Norepinephrine","ADRA2C"
"1102","Norepinephrine","ADRB1"
"1103","Norepinephrine","ADRB3"
"1104","Norepinephrine","DRD1"
"1105","Norepinephrine","DRD5"
"1106","Norepinephrine","DRD4"
"1107","Norepinephrine","BDKRB1"
"1108","Norepinephrine","PROKR2"
"1109","Norepinephrine","MLNR"
"1110","Norepinephrine","GNRHR"
"1111","Norepinephrine","KISS1R"
"1112","Norepinephrine","OPRD1"
"1113","Norepinephrine","GHSR"
"1114","Norepinephrine","MC3R"
"1115","Norepinephrine","PTGER2"
"1116","Norepinephrine","MCHR1"
"1117","Norepinephrine","GALR3"
"1118","Norepinephrine","SSTR4"
"1119","Norepinephrine","NMUR2"
"1120","Norepinephrine","HRH4"
"1121","Norepinephrine","APLNR"
"1122","Norepinephrine","NMBR"
"1123","Norepinephrine","HTR2B"
"1124","Norepinephrine","PPARA"
"1125","Norepinephrine","OPRK1"
"1126","Norepinephrine","SSTR1"
"1127","Norepinephrine","GPR65"
"1128","Norepinephrine","ACKR3"
"1129","Norepinephrine","AGTR1"
"1130","Norepinephrine","TAAR1"
"1131","Norepinephrine","HTR2C"
"1132","Norepinephrine","NPFFR1"
"1133","Norepinephrine","MCHR2"
"1134","Norepinephrine","PPARG"
"1135","Norepinephrine","HTR5A"
"1136","Norepinephrine","HTR6"
"1137","Norepinephrine","PTGIR"
"1138","Norepinephrine","CCR2"
"1139","Norepinephrine","CCR5"
"1140","Norepinephrine","PTGER1"
"1141","Norepinephrine","SSTR5"
"1142","Norepinephrine","CCKAR"
"1143","Norepinephrine","CCR1"
"1144","Norepinephrine","AVPR1A"
"1145","Norepinephrine","GALR1"
"1146","Norepinephrine","MC4R"
"1147","Norepinephrine","PTGER4"
"1148","Norepinephrine","PTGDR"
"1149","Norepinephrine","NTSR2"
"1150","Norepinephrine","PROKR1"
"1151","Norepinephrine","CXCR6"
"1152","Norepinephrine","ADORA2B"
"1153","Norepinephrine","NMUR1"
"1154","Norepinephrine","LTB4R"
"1155","Norepinephrine","HTR1E"
"1156","Norepinephrine","NPFFR2"
"1157","Norepinephrine","ADORA1"
"1158","Norepinephrine","TRHR"
"1159","Norepinephrine","EDNRA"
"1160","Norepinephrine","HTR1A"
"1161","Norepinephrine","MC5R"
"1162","Norepinephrine","HTR1F"
"1163","Norepinephrine","UTS2R"
"1164","Norepinephrine","OXTR"
"1165","Norepinephrine","RXFP3"
"1166","Norepinephrine","GALR2"
"1167","Norepinephrine","NPBWR1"
"1168","Norepinephrine","CCR9"
"1169","Norepinephrine","NPY2R"
"1170","Norepinephrine","CCR4"
"1171","Norepinephrine","MC2R"
"1172","Norepinephrine","CCKBR"
"1173","Norepinephrine","ADORA2A"
"1174","Norepinephrine","OPRL1"
"1175","Norepinephrine","HTR7"
"1176","Norepinephrine","AVPR2"
"1177","Norepinephrine","NPY5R"
"1178","Norepinephrine","HRH3"
"1179","Norepinephrine","PTGER3"
"1180","Norepinephrine","SSTR2"
"1181","Norepinephrine","LPAR1"
"1182","Norepinephrine","NPSR1"
"1183","Norepinephrine","HTR4"
"1184","Norepinephrine","NPY1R"
"1185","Norepinephrine","RXFP4"
"1186","Norepinephrine","CNR1"
"1187","Norepinephrine","NPBWR2"
"1188","Norepinephrine","HTR1B"
"1189","Norepinephrine","NTSR1"
"1190","Norepinephrine","LPAR3"
"1191","Norepinephrine","PTGFR"
"1192","Norepinephrine","HCRTR2"
"1193","Norepinephrine","AGTR2"
"1194","Norepinephrine","HCRTR1"
"1195","Norepinephrine","NPY4R"
"1196","Norepinephrine","CNR2"
"1197","Norepinephrine","EDNRB"
"1198","Norepinephrine","HRH2"
"1199","Norepinephrine","HTR2A"
"1200","Norepinephrine","GRPR"
"1201","Norepinephrine","DRD3"
"1202","Norepinephrine","QRFPR"
"1203","Norepinephrine","LPAR2"
"1204","Norepinephrine","CXCR4"
"1205","Norepinephrine","TBXA2R"
"1206","Norepinephrine","OPRM1"
"1207","Norepinephrine","LTB4R2"
"1208","Norepinephrine","CCR3"
"1209","Norepinephrine","MC1R"
"1210","Dopamine","ADRB2"
"1211","Dopamine","DRD2"
"1212","Dopamine","HTR7"
"1213","Dopamine","DRD4"
"1214","Dopamine","TAAR1"
"1215","Dopamine","MTNR1A"
"1216","Dopamine","MTNR1B"
"1217","Dopamine","DRD1"
"1218","Dopamine","DRD3"
"1219","Dopamine","DRD5"
"1220","Dopamine","HTR1A"
"1221","Dopamine","BDKRB1"
"1222","Dopamine","OPRD1"
"1223","Dopamine","MC3R"
"1224","Dopamine","PTGER2"
"1225","Dopamine","MCHR1"
"1226","Dopamine","GALR3"
"1227","Dopamine","SSTR4"
"1228","Dopamine","NMUR2"
"1229","Dopamine","HRH4"
"1230","Dopamine","APLNR"
"1231","Dopamine","OPRK1"
"1232","Dopamine","SSTR1"
"1233","Dopamine","ACKR3"
"1234","Dopamine","AGTR1"
"1235","Dopamine","HTR2C"
"1236","Dopamine","ADRA2A"
"1237","Dopamine","MCHR2"
"1238","Dopamine","GRIA1"
"1239","Dopamine","HTR5A"
"1240","Dopamine","HTR6"
"1241","Dopamine","PTGIR"
"1242","Dopamine","CCR2"
"1243","Dopamine","CCR5"
"1244","Dopamine","SSTR5"
"1245","Dopamine","CCKAR"
"1246","Dopamine","CCR1"
"1247","Dopamine","GALR1"
"1248","Dopamine","MC4R"
"1249","Dopamine","PTGER4"
"1250","Dopamine","PTGDR"
"1251","Dopamine","CXCR6"
"1252","Dopamine","ADORA2B"
"1253","Dopamine","NMUR1"
"1254","Dopamine","HTR1E"
"1255","Dopamine","ADORA1"
"1256","Dopamine","MC5R"
"1257","Dopamine","HTR1F"
"1258","Dopamine","RXFP3"
"1259","Dopamine","GALR2"
"1260","Dopamine","NPBWR1"
"1261","Dopamine","CCR9"
"1262","Dopamine","NPY2R"
"1263","Dopamine","CCR4"
"1264","Dopamine","MC2R"
"1265","Dopamine","CCKBR"
"1266","Dopamine","ADORA2A"
"1267","Dopamine","OPRL1"
"1268","Dopamine","AVPR2"
"1269","Dopamine","NPY5R"
"1270","Dopamine","HRH3"
"1271","Dopamine","ADRB3"
"1272","Dopamine","PTGER3"
"1273","Dopamine","SSTR2"
"1274","Dopamine","LPAR1"
"1275","Dopamine","NPSR1"
"1276","Dopamine","HTR4"
"1277","Dopamine","NPY1R"
"1278","Dopamine","RXFP4"
"1279","Dopamine","ADRB1"
"1280","Dopamine","CNR1"
"1281","Dopamine","NPBWR2"
"1282","Dopamine","HTR1B"
"1283","Dopamine","LPAR3"
"1284","Dopamine","AGTR2"
"1285","Dopamine","NPY4R"
"1286","Dopamine","CNR2"
"1287","Dopamine","HRH2"
"1288","Dopamine","HTR2A"
"1289","Dopamine","LPAR2"
"1290","Dopamine","ADRA2C"
"1291","Dopamine","CXCR4"
"1292","Dopamine","OPRM1"
"1293","Dopamine","CCR3"
"1294","Dopamine","MC1R"
"1295","Dopamine","HTR3A"
"1296","Dopamine","HTR3B"
"1297","Phenylethylamine","TAAR1"
"1298","Phenylethylamine","MC3R"
"1299","Phenylethylamine","PTGER2"
"1300","Phenylethylamine","HTR6"
"1301","Phenylethylamine","PTGIR"
"1302","Phenylethylamine","MC4R"
"1303","Phenylethylamine","PTGER4"
"1304","Phenylethylamine","PTGDR"
"1305","Phenylethylamine","ADORA2B"
"1306","Phenylethylamine","ADRB2"
"1307","Phenylethylamine","DRD5"
"1308","Phenylethylamine","MC5R"
"1309","Phenylethylamine","MC2R"
"1310","Phenylethylamine","ADORA2A"
"1311","Phenylethylamine","HTR7"
"1312","Phenylethylamine","AVPR2"
"1313","Phenylethylamine","ADRB3"
"1314","Phenylethylamine","NPSR1"
"1315","Phenylethylamine","HTR4"
"1316","Phenylethylamine","ADRB1"
"1317","Phenylethylamine","HRH2"
"1318","Phenylethylamine","MC1R"
"1319","Phenylethylamine","ADRA1A"
"1320","Phenylethylamine","ADRA1D"
"1321","Phenylethylamine","ADRA2A"
"1322","Phenylethylamine","ADRA2C"
"1323","Serotonin","HTR1B"
"1324","Serotonin","HTR1E"
"1325","Serotonin","HTR1D"
"1326","Serotonin","MTNR1B"
"1327","Serotonin","HTR2B"
"1328","Serotonin","HTR1F"
"1329","Serotonin","HTR7"
"1330","Serotonin","HTR6"
"1331","Serotonin","HTR2C"
"1332","Serotonin","DRD2"
"1333","Serotonin","MTNR1A"
"1334","Serotonin","HTR3A"
"1335","Serotonin","HTR2A;HTR2B;HTR2C"
"1336","Serotonin","HTR1A"
"1337","Serotonin","HTR2A"
"1338","Serotonin","HTR3B;HTR3A"
"1339","Serotonin","HTR4"
"1340","Serotonin","HTR5A"
"1341","Serotonin","DRD1"
"1342","Serotonin","DRD5"
"1343","Serotonin","DRD4"
"1344","Serotonin","BDKRB1"
"1345","Serotonin","PROKR2"
"1346","Serotonin","MLNR"
"1347","Serotonin","GNRHR"
"1348","Serotonin","KISS1R"
"1349","Serotonin","OPRD1"
"1350","Serotonin","GHSR"
"1351","Serotonin","MC3R"
"1352","Serotonin","PTGER2"
"1353","Serotonin","MCHR1"
"1354","Serotonin","GALR3"
"1355","Serotonin","SSTR4"
"1356","Serotonin","NMUR2"
"1357","Serotonin","HRH4"
"1358","Serotonin","APLNR"
"1359","Serotonin","NMBR"
"1360","Serotonin","HTR3B"
"1361","Serotonin","OPRK1"
"1362","Serotonin","SSTR1"
"1363","Serotonin","GPR65"
"1364","Serotonin","ACKR3"
"1365","Serotonin","AGTR1"
"1366","Serotonin","TAAR1"
"1367","Serotonin","NPFFR1"
"1368","Serotonin","ADRA2A"
"1369","Serotonin","MCHR2"
"1370","Serotonin","APP"
"1371","Serotonin","PPARG"
"1372","Serotonin","PTGIR"
"1373","Serotonin","CCR2"
"1374","Serotonin","CCR5"
"1375","Serotonin","PTGER1"
"1376","Serotonin","SSTR5"
"1377","Serotonin","CCKAR"
"1378","Serotonin","CCR1"
"1379","Serotonin","AVPR1A"
"1380","Serotonin","GALR1"
"1381","Serotonin","MC4R"
"1382","Serotonin","PTGER4"
"1383","Serotonin","PTGDR"
"1384","Serotonin","NTSR2"
"1385","Serotonin","PROKR1"
"1386","Serotonin","CXCR6"
"1387","Serotonin","ADORA2B"
"1388","Serotonin","ADRB2"
"1389","Serotonin","NMUR1"
"1390","Serotonin","ADRA1B"
"1391","Serotonin","LTB4R"
"1392","Serotonin","NPFFR2"
