"","Compounds","Receptor_genes"
"675","Acetic acid,Acetylglycine","Ltb4r1"
"676","Acetic acid,Acetylglycine","Npffr2"
"677","Acetic acid,Acetylglycine","Trhr"
"678","Acetic acid,Acetylglycine","Cd200r1l"
"679","Acetic acid,Acetylglycine","Cd200r2"
"680","Acetic acid,Acetylglycine","Cd200r1"
"681","Acetic acid,Acetylglycine","Cd200r3"
"682","Acetic acid,Acetylglycine","Cd200r4"
"683","Acetic acid,Acetylglycine","Hcrtr2"
"684","Acetic acid,Acetylglycine","Ednra"
"685","Acetic acid,Acetylglycine","Cd55"
"686","Acetic acid,Acetylglycine","Cd55b"
"687","Acetic acid,Acetylglycine","Uts2r"
"688","Acetic acid,Acetylglycine","Oxtr"
"689","Acetic acid,Acetylglycine","P4hb"
"690","Acetic acid,Acetylglycine","Gp1ba"
"691","Acetic acid,Acetylglycine","Lepr"
"692","Acetic acid,Acetylglycine","Ptprb"
"693","Acetic acid,Acetylglycine","Cckbr"
"694","Acetic acid,Acetylglycine","Ripk2"
"695","Acetic acid,Acetylglycine","H2-Aa"
"696","Acetic acid,Acetylglycine","Trpv2"
"697","Acetic acid,Acetylglycine","Nbr1"
"698","Acetic acid,Acetylglycine","Esr2"
"699","Acetic acid,Acetylglycine","Klrg1"
"700","Acetic acid,Acetylglycine","Lpar1"
"701","Acetic acid,Acetylglycine","Npsr1"
"702","Acetic acid,Acetylglycine","Nr5a2"
"703","Acetic acid,Acetylglycine","Mr1"
"704","Acetic acid,Acetylglycine","Ptprk"
"705","Acetic acid,Acetylglycine","Ntsr1"
"706","Acetic acid,Acetylglycine","Lpar3"
"707","Acetic acid,Acetylglycine","Ptgfr"
"708","Acetic acid,Acetylglycine","Fibcd1"
"709","Acetic acid,Acetylglycine","Nr5a1"
"710","Acetic acid,Acetylglycine","Hcrtr1"
"711","Acetic acid,Acetylglycine","Il2rg"
"712","Acetic acid,Acetylglycine","Ager"
"713","Acetic acid,Acetylglycine","Ednrb"
"714","Acetic acid,Acetylglycine","Htr2a"
"715","Acetic acid,Acetylglycine","Adra1a"
"716","Acetic acid,Acetylglycine","Adra1d"
"717","Acetic acid,Acetylglycine","Il15ra"
"718","Acetic acid,Acetylglycine","Grpr"
"719","Acetic acid,Acetylglycine","Crlf2"
"720","Acetic acid,Acetylglycine","Qrfprl"
"721","Acetic acid,Acetylglycine","Qrfpr"
"722","Acetic acid,Acetylglycine","H2-Ab1"
"723","Acetic acid,Acetylglycine","Lpar2"
"724","Acetic acid,Acetylglycine","H2-Ob"
"725","Acetic acid,Acetylglycine","Tbxa2r"
"726","Acetic acid,Acetylglycine","Ptprg"
"727","Acetic acid,Acetylglycine","Rxra"
"728","Acetic acid,Acetylglycine","Robo1"
"729","Acetic acid,Acetylglycine","Igll1"
"730","Acetic acid,Acetylglycine","Ntrk1"
"731","Acetic acid,Acetylglycine","Ltb4r2"
"732","Acetic acid,Acetylglycine","Tnfrsf11a"
"733","Imidazoleacetic acid","Gabrr3"
"734","Imidazoleacetic acid","Gabrr1"
"735","Imidazoleacetic acid","Gabrr2"
"736","5-Hydroxyindoleacetic acid","Gpr17"
"737","5-Hydroxyindoleacetic acid","Pparg"
"738","beta-Alanine","Mrgprd"
"739","beta-Alanine","Glra2"
"740","beta-Alanine","Glrb"
"741","beta-Alanine","Glra3"
"742","beta-Alanine","Glra1"
"743","beta-Alanine","Igll1"
"744","Capric acid","Pparg"
"745","Caprylic acid","Ppara"
"746","Betaine","Tlr4"
"747","Aminoadipic acid","Grm6"
"748","Aminoadipic acid","Grm5"
"749","12-HETE","Ltb4r2"
"750","12-HETE","Selp"
"751","12-HETE","Ltb4r1"
"752","12-HETE","Gpr31b"
"753","Lipoxin A4","Fpr-rs7"
"754","Lipoxin A4","Fpr-rs6"
"755","Lipoxin A4","Fpr-rs3"
"756","Lipoxin A4","Fpr3"
"757","Lipoxin A4","Fpr2"
"758","Lipoxin A4","Fpr-rs4"
"759","Lipoxin A4","Anxa1"
"760","Lipoxin A4","App"
"761","Lipoxin A4","Ptafr"
"762","Lipoxin A4","Fpr1"
"763","Lipoxin A4","Fpr3"
"764","Leukotriene B4","Ltb4r2"
"765","13-L-Hydroperoxylinoleic acid","Ppara"
"766","Maltotetraose","Scarf1"
"767","D-Fructose","Nr2f1"
"768","Gentisic acid","App"
"769","Ornithine","Gprc6a"
"770","5-Methoxyindoleacetate","Pparg"
"771","Melatonin","Mtnr1a"
"772","Melatonin","Mtnr1b"
"773","Melatonin","Htr2b"
"774","Melatonin","Htr2c"
"775","Melatonin","Abcc4"
"776","Melatonin","Abcc3"
"777","Melatonin","Esr1"
"778","Melatonin","Rorb"
"779","Melatonin","Gpr50"
"780","Melatonin","Adam10"
"781","Melatonin","Ppara"
"782","Melatonin","Erbb2"
"783","Melatonin","Flt1"
"784","Melatonin","Gja1"
"785","Melatonin","Gja6"
"786","Melatonin","App"
"787","Melatonin","Tshr"
"788","Melatonin","Htr1a"
"789","Melatonin","Oxtr"
"790","Melatonin","Ocln"
"791","Melatonin","Htr2a"
"792","Melatonin","Gpc3"
"793","L-Asparagine","Pvr"
"794","L-Aspartic acid","Grm6"
"795","L-Aspartic acid","Grin3b"
"796","L-Aspartic acid","Grik2"
"797","L-Aspartic acid","Grik5"
"798","L-Aspartic acid","Grin2d"
"799","L-Aspartic acid","Aplp2"
"800","L-Aspartic acid","Gria2"
"801","L-Aspartic acid","Enpep"
"802","L-Aspartic acid","Grid2"
"803","L-Aspartic acid","Gria4"
"804","L-Aspartic acid","Grm1"
"805","L-Aspartic acid","App"
"806","L-Aspartic acid","Gria1"
"807","L-Aspartic acid","Grin2c"
"808","L-Aspartic acid","Grm5"
"809","L-Aspartic acid","Grid1"
"810","L-Aspartic acid","Cntn2"
"811","L-Aspartic acid","Grin2a"
"812","L-Aspartic acid","Grm8"
"813","L-Aspartic acid","Grm7"
"814","L-Aspartic acid","Grin3a"
"815","L-Aspartic acid","Grm3"
"816","L-Aspartic acid","Grin1"
"817","L-Aspartic acid","Grik3"
"818","L-Aspartic acid","Grm4"
"819","L-Aspartic acid","Grm2"
"820","L-Aspartic acid","Grik1"
"821","L-Aspartic acid","Pvr"
"822","L-Aspartic acid","Grik4"
"823","L-Arginine","Gprc6a"
"824","L-Arginine","Enpep"
"825","L-Arginine","Grm1"
"826","L-Arginine","Erap1"
"827","L-Arginine","Grm5"
"828","L-Arginine","Pvr"
"829","L-Arginine","Casr"
"830","Agmatine","Grin1"
"831","Agmatine","Asic3"
"832","Agmatine","Chrna1"
"833","Agmatine","Nisch"
"834","Agmatine","Adra2c"
"835","Alpha-Lactose","Sell"
"836","Alpha-Lactose","Avpr1a"
"837","Alpha-Lactose","Crhr2"
"838","Alpha-Lactose","Cd207"
"839","L-Carnitine","Pparg"
"840","L-Carnitine","Igfbp3"
"841","L-Carnitine","App"
"842","3-Hydroxybutyric acid","Hcar2"
"843","3-Hydroxybutyric acid","Ppara"
"844","L-Methionine","Pvr"
"845","Bilirubin","Ppara"
"846","Bilirubin","Abcb11"
"847","Bilirubin","Chrna4"
"848","Bilirubin","Abcc2"
"849","Niacinamide","Hcar2"
"850","Niacinamide","Hcar2"
"851","Niacinamide","Cd38"
"852","Niacinamide","Tnfrsf21"
"853","Niacinamide","Ptgdr"
"854","Niacinamide","Klrg1"
"855","20-Carboxy-leukotriene B4","Ltb4r1"
"856","20-Carboxy-leukotriene B4","Ltb4r2"
"857","Benzamide,3,5-Dihydroxybenzoic acid","Cxcr1"
"858","Benzamide,3,5-Dihydroxybenzoic acid","Esr1"
"859","Benzamide,3,5-Dihydroxybenzoic acid","Gabra4"
"860","Benzamide,3,5-Dihydroxybenzoic acid","Gabrb3"
"861","Benzamide,3,5-Dihydroxybenzoic acid","Gabrd"
"862","Benzamide,3,5-Dihydroxybenzoic acid","Mpl"
"863","Benzamide,3,5-Dihydroxybenzoic acid","Ncoa3"
"864","25-Hydroxycholesterol","Gpr183"
"865","25-Hydroxycholesterol","Esr1"
"866","25-Hydroxycholesterol","Scarb1"
"867","25-Hydroxycholesterol","Abca7"
"868","25-Hydroxycholesterol","Rorc"
"869","25-Hydroxycholesterol","Ldlr"
"870","25-Hydroxycholesterol","Esr2"
"871","25-Hydroxycholesterol","Nr1h3"
"872","25-Hydroxycholesterol","Ppara"
"873","25-Hydroxycholesterol","Pparg"
"874","25-Hydroxycholesterol","Ror1"
"875","25-Hydroxycholesterol","Ror2"
"876","25-Hydroxycholesterol","Rora"
"877","Acetylcholine","Npy1r"
"878","Acetylcholine","Npy2r"
"879","Acetylcholine","Chrna4"
"880","Acetylcholine","Chrm3"
"881","Acetylcholine","Chrm5"
"882","Acetylcholine","Galr3"
"883","Acetylcholine","Chrna3"
"884","Acetylcholine","Chrna7"
"885","Acetylcholine","Chrna7"
"886","Acetylcholine","Chrm1"
"887","Acetylcholine","Chrm2"
"888","Acetylcholine","Chrm4"
"889","Acetylcholine","Drd4"
"890","Acetylcholine","Bdkrb1"
"891","Acetylcholine","Prokr2"
"892","Acetylcholine","Gnrhr"
"893","Acetylcholine","Nr3c1"
"894","Acetylcholine","Kiss1r"
"895","Acetylcholine","Oprd1"
"896","Acetylcholine","Ghsr"
"897","Acetylcholine","Mchr1"
"898","Acetylcholine","Sstr4"
"899","Acetylcholine","Nmur2"
"900","Acetylcholine","Hrh4"
"901","Acetylcholine","Aplnr"
"902","Acetylcholine","Nmbr"
"903","Acetylcholine","Chrnd"
"904","Acetylcholine","Htr2b"
"905","Acetylcholine","Chrna1"
"906","Acetylcholine","Trpv4"
"907","Acetylcholine","Chrnb4"
"908","Acetylcholine","Icam1"
"909","Acetylcholine","Oprk1"
"910","Acetylcholine","Sstr1"
"911","Acetylcholine","Gpr65"
"912","Acetylcholine","Ackr3"
"913","Acetylcholine","Agtr1a"
"914","Acetylcholine","Agtr1b"
"915","Acetylcholine","Htr2c"
"916","Acetylcholine","Chrna6"
"917","Acetylcholine","Npffr1"
"918","Acetylcholine","Adra2a"
"919","Acetylcholine","Pparg"
"920","Acetylcholine","Htr5a"
"921","Acetylcholine","Chrnb3"
"922","Acetylcholine","Ccr2"
"923","Acetylcholine","Ccr5"
"924","Acetylcholine","Ptger1"
"925","Acetylcholine","Chrne"
"926","Acetylcholine","Sstr5"
"927","Acetylcholine","Cckar"
"928","Acetylcholine","Ccr1"
"929","Acetylcholine","Ccr1l1"
"930","Acetylcholine","Avpr1a"
"931","Acetylcholine","Chrna5"
"932","Acetylcholine","Galr1"
"933","Acetylcholine","Ntsr2"
"934","Acetylcholine","Prokr1"
"935","Acetylcholine","Cxcr6"
"936","Acetylcholine","Nmur1"
"937","Acetylcholine","Adra1b"
"938","Acetylcholine","Ltb4r1"
"939","Acetylcholine","Npffr2"
"940","Acetylcholine","Adora1"
"941","Acetylcholine","Trhr"
"942","Acetylcholine","Ednra"
"943","Acetylcholine","Htr1a"
"944","Acetylcholine","Htr1f"
"945","Acetylcholine","Uts2r"
"946","Acetylcholine","Oxtr"
"947","Acetylcholine","Rxfp3"
"948","Acetylcholine","Galr2"
"949","Acetylcholine","Npbwr1"
"950","Acetylcholine","Ccr9"
"951","Acetylcholine","Ccr4"
"952","Acetylcholine","Cckbr"
"953","Acetylcholine","Oprl1"
"954","Acetylcholine","Npy5r"
"955","Acetylcholine","Hrh3"
"956","Acetylcholine","Ptger3"
"957","Acetylcholine","Sstr2"
"958","Acetylcholine","Lpar1"
"959","Acetylcholine","Npsr1"
"960","Acetylcholine","Drd2"
"961","Acetylcholine","Rxfp4"
"962","Acetylcholine","Chrnb2"
"963","Acetylcholine","Cnr1"
"964","Acetylcholine","Htr1b"
"965","Acetylcholine","Ntsr1"
"966","Acetylcholine","Lpar3"
"967","Acetylcholine","Ptgfr"
"968","Acetylcholine","Hcrtr2"
"969","Acetylcholine","Agtr2"
"970","Acetylcholine","Tie1"
"971","Acetylcholine","Hcrtr1"
"972","Acetylcholine","Npy4r"
"973","Acetylcholine","Cnr2"
"974","Acetylcholine","Ednrb"
"975","Acetylcholine","Htr2a"
"976","Acetylcholine","Tnfrsf4"
"977","Acetylcholine","Adra1a"
"978","Acetylcholine","Adra1d"
"979","Acetylcholine","Grpr"
"980","Acetylcholine","Drd3"
"981","Acetylcholine","Qrfprl"
"982","Acetylcholine","Qrfpr"
"983","Acetylcholine","Hrh1"
"984","Acetylcholine","Lpar2"
"985","Acetylcholine","Chrna2"
"986","Acetylcholine","Adra2c"
"987","Acetylcholine","Cxcr4"
"988","Acetylcholine","Tbxa2r"
"989","Acetylcholine","Oprm1"
"990","Acetylcholine","Ltb4r2"
"991","Acetylcholine","Ccr3"
"992","Acetylcholine","Chrna10"
"993","Acetylcholine","Chrna9"
"994","Acetylcholine","Chrnb1"
"995","Acetylcholine","Chrng"
"996","Malic acid","Mtnr1b"
"997","Malic acid","Mtnr1a"
"998","3-Methoxytyramine","Taar1"
"999","3-Methoxytyramine","Chrm1"
"1000","3-Methoxytyramine","Chrm4"
"1001","5-Methoxytryptophol","Mtnr1a"
"1002","5-Methoxytryptophol","Mtnr1b"
"1003","L-Acetylcarnitine","Ngfr"
"1004","Taurine","Glra2"
"1005","Taurine","Glrb"
"1006","Taurine","Glra3"
"1007","Taurine","Axl"
"1008","Taurine","Tlr4"
"1009","Taurine","Gabrg2"
"1010","Taurine","Glra1"
"1011","Hydrogen sulfide","Nr3c1"
"1012","Hydrogen sulfide","Trpa1"
"1013","Hydrogen sulfide","Icam1"
"1014","Hydrogen sulfide","Erbb2"
"1015","Hydrogen sulfide","Egfr"
"1016","Hydrogen sulfide","Cx3cr1"
"1017","Hydrogen sulfide","Oprm1"
"1018","L-Cysteine,D-Cysteine","Grin1"
"1019","L-Cysteine,D-Cysteine","Grin2d"
"1020","L-Cysteine,D-Cysteine","Grin2b"
"1021","L-Cysteine,D-Cysteine","Grin2a"
"1022","L-Cysteine,D-Cysteine","Grin3a"
"1023","L-Cysteine,D-Cysteine","Esr1"
"1024","L-Cysteine,D-Cysteine","Fcgrt"
"1025","L-Cysteine,D-Cysteine","Cd200r1l"
"1026","L-Cysteine,D-Cysteine","Cd200r2"
"1027","L-Cysteine,D-Cysteine","Cd200r1"
"1028","L-Cysteine,D-Cysteine","Cd200r3"
"1029","L-Cysteine,D-Cysteine","Cd200r4"
"1030","L-Cysteine,D-Cysteine","Siglece"
"1031","L-Cysteine,D-Cysteine","Lepr"
"1032","L-Cysteine,D-Cysteine","H2-T22"
"1033","L-Cysteine,D-Cysteine","H2-M10.6"
"1034","L-Cysteine,D-Cysteine","H2-T5"
"1035","L-Cysteine,D-Cysteine","H2-M10.2"
"1036","L-Cysteine,D-Cysteine","H2-D1"
"1037","L-Cysteine,D-Cysteine","H2-Q6"
"1038","L-Cysteine,D-Cysteine","H2-Q7"
"1039","L-Cysteine,D-Cysteine","H2-M10.4"
"1040","L-Cysteine,D-Cysteine","H2-M2"
"1041","L-Cysteine,D-Cysteine","H2-M11"
"1042","L-Cysteine,D-Cysteine","H2-Q1"
"1043","L-Cysteine,D-Cysteine","H2-M5"
"1044","L-Cysteine,D-Cysteine","H2-Q10"
"1045","L-Cysteine,D-Cysteine","H2-M10.1"
"1046","L-Cysteine,D-Cysteine","H2-M3"
"1047","L-Cysteine,D-Cysteine","H2-Q2"
"1048","L-Cysteine,D-Cysteine","H2-K1"
"1049","L-Cysteine,D-Cysteine","Il6ra"
"1050","L-Cysteine,D-Cysteine","H2-T10"
"1051","L-Cysteine,D-Cysteine","H2-T22"
"1052","L-Cysteine,D-Cysteine","H2-M10.6"
"1053","L-Cysteine,D-Cysteine","H2-T5"
"1054","L-Cysteine,D-Cysteine","H2-M10.2"
"1055","L-Cysteine,D-Cysteine","H2-T9"
"1056","L-Cysteine,D-Cysteine","H2-D1"
"1057","L-Cysteine,D-Cysteine","H2-T3"
"1058","L-Cysteine,D-Cysteine","H2-Q6"
"1059","L-Cysteine,D-Cysteine","H2-M9"
"1060","L-Cysteine,D-Cysteine","H2-Q7"
"1061","L-Cysteine,D-Cysteine","H2-M10.4"
"1062","L-Cysteine,D-Cysteine","H2-M2"
"1063","L-Cysteine,D-Cysteine","H2-M1"
"1064","L-Cysteine,D-Cysteine","H2-M11"
"1065","L-Cysteine,D-Cysteine","H2-M10.3"
"1066","L-Cysteine,D-Cysteine","H2-Q1"
"1067","L-Cysteine,D-Cysteine","H2-M5"
"1068","L-Cysteine,D-Cysteine","H2-Q10"
"1069","L-Cysteine,D-Cysteine","H2-M10.1"
"1070","L-Cysteine,D-Cysteine","H2-Q2"
"1071","L-Cysteine,D-Cysteine","H2-Q4"
"1072","L-Cysteine,D-Cysteine","H2-M10.5"
"1073","L-Cysteine,D-Cysteine","H2-T13"
"1074","L-Cysteine,D-Cysteine","H2-K1"
"1075","L-Cysteine,D-Cysteine","H2-T5"
"1076","L-Cysteine,D-Cysteine","H2-D1"
"1077","L-Cysteine,D-Cysteine","H2-Q6"
"1078","L-Cysteine,D-Cysteine","H2-Q7"
"1079","L-Cysteine,D-Cysteine","H2-Q1"
"1080","L-Cysteine,D-Cysteine","H2-Q10"
"1081","L-Cysteine,D-Cysteine","H2-Q2"
"1082","L-Cysteine,D-Cysteine","H2-Q4"
"1083","L-Cysteine,D-Cysteine","H2-T13"
"1084","L-Cysteine,D-Cysteine","H2-K1"
"1085","L-Cysteine,D-Cysteine","H2-T7"
"1086","L-Cysteine,D-Cysteine","H2-T10"
"1087","L-Cysteine,D-Cysteine","H2-T22"
"1088","L-Cysteine,D-Cysteine","H2-M10.6"
"1089","L-Cysteine,D-Cysteine","H2-T5"
"1090","L-Cysteine,D-Cysteine","H2-M10.2"
"1091","L-Cysteine,D-Cysteine","H2-T9"
"1092","L-Cysteine,D-Cysteine","H2-D1"
"1093","L-Cysteine,D-Cysteine","H2-T3"
"1094","L-Cysteine,D-Cysteine","H2-Q6"
"1095","L-Cysteine,D-Cysteine","H2-M9"
"1096","L-Cysteine,D-Cysteine","H2-Q7"
"1097","L-Cysteine,D-Cysteine","H2-M10.4"
"1098","L-Cysteine,D-Cysteine","H2-M2"
"1099","L-Cysteine,D-Cysteine","H2-M1"
"1100","L-Cysteine,D-Cysteine","H2-M11"
"1101","L-Cysteine,D-Cysteine","H2-M10.3"
"1102","L-Cysteine,D-Cysteine","H2-Q1"
"1103","L-Cysteine,D-Cysteine","H2-M5"
"1104","L-Cysteine,D-Cysteine","H2-Q10"
"1105","L-Cysteine,D-Cysteine","H2-M10.1"
"1106","L-Cysteine,D-Cysteine","H2-Q2"
"1107","L-Cysteine,D-Cysteine","H2-Q4"
"1108","L-Cysteine,D-Cysteine","H2-M10.5"
"1109","L-Cysteine,D-Cysteine","H2-T13"
"1110","L-Cysteine,D-Cysteine","H2-K1"
"1111","L-Cysteine,D-Cysteine","Cd200"
"1112","L-Cysteine,D-Cysteine","Ahr"
"1113","L-Cysteine,D-Cysteine","Fas"
"1114","L-Cysteine,D-Cysteine","Traf2"
"1115","Pregnenolone","Nr1i2"
"1116","Pregnenolone","Npy1r"
"1117","Pregnenolone","Trpm3"
"1118","Cortisol","Nr3c2"
"1119","Cortisol","Anxa1"
"1120","Cortisol","Nr3c1"
"1121","Cortisol","Thbs1"
"1122","Cortisol","Notch1"
"1123","Cortisol","Htr1a"
"1124","Cortisol","Mc2r"
"1125","Cortisol","Nr1i2"
"1126","Cortisol","Apcdd1"
"1127","Cortisol","Sstr2"
"1128","Cortisol","Igfbp3"
"1129","Cortisol","Cxcr4"
"1130","Cortisol","Ar"
"1131","Cortisol","Esr1"
"1132","Aldosterone","Nr3c2"
"1133","Aldosterone","Nr3c1"
"1134","Aldosterone","Ace2"
"1135","Aldosterone","Ramp1"
"1136","Aldosterone","Icam1"
"1137","Aldosterone","Igf1r"
"1138","Aldosterone","Egfr"
"1139","Aldosterone","Vcam1"
"1140","Aldosterone","Gper1"
"1141","Aldosterone","Trpm7"
"1142","Corticosterone","Sigmar1"
"1143","Corticosterone","Nr3c1"
"1144","Corticosterone","Ntrk2"
"1145","Corticosterone","Gria1"
"1146","Corticosterone","Htr1a"
"1147","Corticosterone","Crhr2"
"1148","Corticosterone","Nr3c2"
"1149","Corticosterone","Ar"
"1150","Corticosterone","Htr2a"
"1151","Corticosterone","Esr1"
"1152","Corticosterone","Nr1i2"
"1153","Dehydroepiandrosterone","Gpbar1"
"1154","Dehydroepiandrosterone","Nr1i2"
"1155","Dehydroepiandrosterone","Grin1"
"1156","Dehydroepiandrosterone","Grin2d"
"1157","Dehydroepiandrosterone","Grin3b"
"1158","Dehydroepiandrosterone","Grin2b"
"1159","Dehydroepiandrosterone","Grin2a"
"1160","Dehydroepiandrosterone","Grin3a"
"1161","Dehydroepiandrosterone","Grin2c"
"1162","Dehydroepiandrosterone","Esr2"
"1163","Dehydroepiandrosterone","Nr1i3"
"1164","Dehydroepiandrosterone","Gabrq"
"1165","Dehydroepiandrosterone","Gabra6"
"1166","Dehydroepiandrosterone","Gabrg2"
"1167","Dehydroepiandrosterone","Gabrb1"
"1168","Dehydroepiandrosterone","Gabrp"
"1169","Dehydroepiandrosterone","Gabrd"
"1170","Dehydroepiandrosterone","Gabra4"
"1171","Dehydroepiandrosterone","Gabrb2"
"1172","Dehydroepiandrosterone","Gabrg1"
"1173","Dehydroepiandrosterone","Gabra5"
"1174","Dehydroepiandrosterone","Gabra1"
"1175","Dehydroepiandrosterone","Gabrb3"
"1176","Dehydroepiandrosterone","Gabra2"
"1177","Dehydroepiandrosterone","Gabra3"
"1178","Dehydroepiandrosterone","Gabrg3"
"1179","Dehydroepiandrosterone","Gabre"
"1180","Dehydroepiandrosterone","Sigmar1"
"1181","Dehydroepiandrosterone","Esr1"
"1182","Dehydroepiandrosterone","Ppara"
"1183","Dehydroepiandrosterone","Ar"
"1184","Dehydroepiandrosterone","Ccr2"
"1185","Dehydroepiandrosterone","Tnfrsf11b"
"1186","11beta-Hydroxyprogesterone","Nr3c2"
"1187","17-Hydroxyprogesterone","Nr3c1"
"1188","17-Hydroxyprogesterone","Gper1"
"1189","17-Hydroxyprogesterone","Pgr"
"1190","17-Hydroxyprogesterone","Ar"
"1191","17-Hydroxyprogesterone","Esr1"
"1192","17-Hydroxyprogesterone","Esr2"
"1193","17-Hydroxyprogesterone","Nr1i2"
"1194","Androstenedione","Ar"
"1195","Androstenedione","Esr1"
"1196","Androstenedione","Esr2"
"1197","Androstenedione","Nr1i2"
"1198","Androstenedione","Pparg"
"1199","Androstenedione","Thrb"
"1200","2-Hydroxyestradiol","Esr1"
"1201","8-HETE","Ppara"
"1202","Estrone","Abcg2"
"1203","Estrone","Abcg3"
"1204","Estrone","Esr1"
"1205","Estrone","Esr2"
"1206","Estrone","Ar"
"1207","Estrone","Nr1i2"
"1208","Estrone","Thrb"
"1209","6-Hydroxymelatonin","Mtnr1b"
"1210","6-Hydroxymelatonin","Mtnr1a"
"1211","Deoxycorticosterone","Htr2b"
"1212","Deoxycorticosterone","Htr2c"
"1213","Deoxycorticosterone","Abcb1b"
"1214","Deoxycorticosterone","Abcb1a"
"1215","Deoxycorticosterone","Nr3c2"
"1216","Deoxycorticosterone","Htr2a"
"1217","Deoxycorticosterone","Ar"
"1218","Deoxycorticosterone","Nr3c1"
"1219","27-Hydroxycholesterol","Nr1h3"
"1220","27-Hydroxycholesterol","Gpr183"
"1221","27-Hydroxycholesterol","Abca1"
"1222","27-Hydroxycholesterol","Esr1"
"1223","27-Hydroxycholesterol","Esr2"
"1224","Chenodeoxycholic acid","Gpbar1"
"1225","Chenodeoxycholic acid","Nr1h4"
"1226","Chenodeoxycholic acid","Vdr"
"1227","Chenodeoxycholic acid","Nr3c1"
"1228","Chenodeoxycholic acid","Nr0b2"
"1229","Chenodeoxycholic acid","Scarb1"
"1230","Chenodeoxycholic acid","Abcb11"
"1231","Chenodeoxycholic acid","Abcb4"
"1232","Chenodeoxycholic acid","Abcb1b"
"1233","Chenodeoxycholic acid","Abcb1a"
"1234","Chenodeoxycholic acid","Tnfrsf10b"
"1235","Chenodeoxycholic acid","Hnf4a"
"1236","Chenodeoxycholic acid","Vipr1"
"1237","Chenodeoxycholic acid","Abcc4"
"1238","Chenodeoxycholic acid","Gabrg2"
"1239","Chenodeoxycholic acid","Ncor1"
"1240","Chenodeoxycholic acid","Nr1i2"
"1241","Pyruvaldehyde","Trpa1"
"1242","Calcidiol","Vdr"
"1243","Calcidiol","Cd38"
"1244","Calcidiol","Cubn"
"1245","Calcidiol","Cd247"
"1246","Calcidiol","Cd28"
"1247","Calcidiol","Cd3d"
"1248","Calcidiol","Cd3e"
"1249","Calcidiol","Cd3g"
"1250","2-Hydroxyestrone","Esr1"
"1251","2-Hydroxyestrone","Esr2"
"1252","24-Hydroxycholesterol","Nr1h3"
"1253","24-Hydroxycholesterol","Abca1"
"1254","24-Hydroxycholesterol","Esr1"
"1255","24-Hydroxycholesterol","Esr2"
"1256","20-Hydroxy-leukotriene B4","Ltb4r1"
"1257","20-Hydroxy-leukotriene B4","Ltb4r2"
"1258","7alpha-Hydroxycholesterol","Gpr183"
"1259","7alpha-Hydroxycholesterol","Rora"
"1260","Norepinephrine","Adrb2"
"1261","Norepinephrine","Adra1a"
"1262","Norepinephrine","Adra1d"
"1263","Norepinephrine","Drd2"
"1264","Norepinephrine","Adra1b"
"1265","Norepinephrine","Adra2a"
"1266","Norepinephrine","Adra2b"
"1267","Norepinephrine","Adra2c"
"1268","Norepinephrine","Adrb1"
"1269","Norepinephrine","Adrb3"
"1270","Norepinephrine","Drd1"
"1271","Norepinephrine","Drd5"
"1272","Norepinephrine","Drd4"
"1273","Norepinephrine","Bdkrb1"
"1274","Norepinephrine","Prokr2"
"1275","Norepinephrine","Gnrhr"
"1276","Norepinephrine","Kiss1r"
"1277","Norepinephrine","Oprd1"
"1278","Norepinephrine","Ghsr"
"1279","Norepinephrine","Mc3r"
"1280","Norepinephrine","Ptger2"
"1281","Norepinephrine","Mchr1"
"1282","Norepinephrine","Galr3"
"1283","Norepinephrine","Sstr4"
"1284","Norepinephrine","Nmur2"
"1285","Norepinephrine","Hrh4"
"1286","Norepinephrine","Aplnr"
"1287","Norepinephrine","Nmbr"
"1288","Norepinephrine","Htr2b"
"1289","Norepinephrine","Ppara"
"1290","Norepinephrine","Oprk1"
"1291","Norepinephrine","Sstr1"
"1292","Norepinephrine","Gpr65"
"1293","Norepinephrine","Ackr3"
"1294","Norepinephrine","Agtr1a"
"1295","Norepinephrine","Agtr1b"
"1296","Norepinephrine","Taar1"
"1297","Norepinephrine","Htr2c"
"1298","Norepinephrine","Npffr1"
"1299","Norepinephrine","Pparg"
"1300","Norepinephrine","Htr5a"
"1301","Norepinephrine","Htr6"
"1302","Norepinephrine","Ptgir"
"1303","Norepinephrine","Ccr2"
"1304","Norepinephrine","Ccr5"
"1305","Norepinephrine","Ptger1"
"1306","Norepinephrine","Sstr5"
"1307","Norepinephrine","Cckar"
"1308","Norepinephrine","Ccr1"
"1309","Norepinephrine","Ccr1l1"
"1310","Norepinephrine","Avpr1a"
"1311","Norepinephrine","Galr1"
"1312","Norepinephrine","Mc4r"
"1313","Norepinephrine","Ptger4"
"1314","Norepinephrine","Ptgdr"
"1315","Norepinephrine","Ntsr2"
"1316","Norepinephrine","Prokr1"
"1317","Norepinephrine","Cxcr6"
"1318","Norepinephrine","Adora2b"
"1319","Norepinephrine","Nmur1"
"1320","Norepinephrine","Ltb4r1"
"1321","Norepinephrine","Npffr2"
"1322","Norepinephrine","Adora1"
"1323","Norepinephrine","Trhr"
"1324","Norepinephrine","Ednra"
"1325","Norepinephrine","Htr1a"
"1326","Norepinephrine","Mc5r"
"1327","Norepinephrine","Htr1f"
"1328","Norepinephrine","Uts2r"
"1329","Norepinephrine","Oxtr"
"1330","Norepinephrine","Rxfp3"
